,FERAID,NGS Run Number,BIOSYS site ID,Season,Dataset,SPT_Name,Conductivity,N_NH4,N_NO3,P_PO4,Alkalinity,pH,TotalRead,NonPlankRead,NoBlast Hit,% No Blast Hit of total count,NGS_TDI,LM_TDI4,LM_TDI5,Northing,Easting,Lon,Lat
47,2815,Diatom4,1396,Aut,2016,U/S AIRE,328.6876426,0.051767872,1.980727259,0.13313913,88.39393939,8.200909094,40759,40744,13525,33.19507167,63.40999917,72.92763158,72.85947712,445236,403929,53.90327354,-1.941686514
48,2498,Diatom2 ,1482,Spr,2016,RIPPONDEN,185.8387815,0.03489512,0.811017026,0.022261835,28.64705882,7.841666672,48877,48664,11637,23.91295413,29.137007,41.65239726,41.40365449,419773,404048,53.67441212,-1.940200263
49,2615,Diatom3,1482,Aut,2016,RIPPONDEN,185.8387815,0.03489512,0.811017026,0.022261835,28.64705882,7.841666672,62888,62761,21221,33.81239942,58.65865079,51.1143695,48.96358543,419773,404048,53.67441212,-1.940200263
50,2624,Diatom2,1630,Spr,2016,HETHPOOL,75.81665158,0.01191824,0.236230865,0.004437647,20.25,7.955000043,30221,30195,10239,33.90958768,21.6686349,25.58064516,24.93710692,628082,389603,55.54633236,-2.166332476
51,2808,Diatom4,1630,Aut,2016,HETHPOOL,75.81665158,0.01191824,0.236230865,0.004437647,20.25,7.955000043,44424,44423,20844,46.92163969,29.87248192,16.96245734,17.33552632,628082,389603,55.54633236,-2.166332476
52,3013,Diatom2,1660,Spr,2016,WARKWORTH FORD,295.5281882,0.03213618,0.724377732,0.021749523,100.1666667,8.073055559,31137,31104,14911,47.93917181,52.79352514,46.68555241,46.30617978,604966,423603,55.33817574,-1.62944377
53,3080,Diatom4,1660,Aut,2016,WARKWORTH FORD,295.5281882,0.03213618,0.724377732,0.021749523,100.1666667,8.073055559,36550,36549,12573,34.40039399,29.3969114,62.96116505,59.5631068,604966,423603,55.33817574,-1.62944377
54,2673,Diatom2,1686,Spr,2016,ALWINTON,131.3921385,0.029999999,0.706873893,0.013426454,41.57575758,8.086470604,40779,40778,15684,38.46191574,24.68736273,24.24749164,24.84076433,605985,392218,55.34782967,-2.124262462
55,2794,Diatom4,1686,Aut,2016,ALWINTON,131.3921385,0.029999999,0.706873893,0.013426454,41.57575758,8.086470604,60174,60172,26873,44.66030712,54.21596917,36.39166667,32.41694352,605985,392218,55.34782967,-2.124262462
56,2649,Diatom2,1745,Spr,2016,KIELDER (D/S BUTTERYHAUGH),112.2398763,0.01406662,0.113048379,0.005534991,45.41666667,7.575000008,78960,78944,26840,33.99878395,26.29127462,24.39344262,24.33121019,592909,363199,55.22901557,-2.58012823
57,2475,Diatom3,1745,Aut,2016,KIELDER (D/S BUTTERYHAUGH),112.2398763,0.01406662,0.113048379,0.005534991,45.41666667,7.575000008,26953,26953,14563,54.03109116,15.27321654,25.49319728,24.75961538,592909,363199,55.22901557,-2.58012823
58,3127,Diatom1,1757,Spr,2016,ALLENSFORD,183.2215913,0.014318257,0.656200484,0.009003237,39.8166666,7.81249996,35289,35288,23743,67.28349581,29.76074648,27.19155844,26.84294872,550269,407745,54.84717023,-1.880912577
